order,college_code,Institute
117,4649,"Bajaj Institute of Technology, Wardha"
118,6622,ISBM College Of Engineering Pune
119,6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
120,6036,"Government College of Engineering, Kolhapur"
121,6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"
122,4004,"Government College of Engineering, Chandrapur"
123,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"
124,1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati"
125,3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri"
126,3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
127,2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded."
128,6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
129,3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
130,3460,"Universal College of Engineering,Kaman Dist. Palghar"
131,5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"
132,6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
133,6220,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"
134,6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"
135,6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
136,6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli"
137,6206,"Pune District Education Association's College of Engineering, Pune"
138,4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur"
139,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
140,6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
141,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar"
142,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
143,6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
144,2129,"M.S. Bidve Engineering College, Latur"
145,6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
146,3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR"
147,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
148,6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
149,4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur"
150,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
151,6794,"Anantrao Pawar College of Engineering & Research, Pune"
152,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
153,6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
154,4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur"
155,1128,"Prof Ram Meghe College of Engineering and Management, Badnera"
156,6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune"
157,5330,"PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK"
158,4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
159,6028,"Department of Technology, Shivaji University, Kolhapur"
160,6277,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
161,5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"
162,5497,"P.G. College of Engineering & Technology, Nandurbar"
163,6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon"
164,4147,"K.D.K. College of Engineering, Nagpur"
165,6185,Sinhgad Institute of Technology
166,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad"
167,6419,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune"
168,3198,"Konkan Gyanpeeth College of Engineering, Karjat"
169,6303,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"
170,2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad"
171,1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon."
172,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik."
173,3206,"S.S.P.M.'s College of Engineering, Kankavli"
174,5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule"
175,6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"
176,6808,"Keystone School of Engineering, Pune"
177,1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati"
178,5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon"
179,5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
180,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune"
181,6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
182,4104,"Kavi Kulguru Institute of Technology & Science, Ramtek"
183,6625,"Universal College of Engineering & Research, Sasewadi"
184,3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat"
185,6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
186,4613,"Suryodaya College of Engineering & Technology, Nagpur"
187,3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"
188,1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
189,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"
190,3042,"Government College of Engineering, Ratnagiri"
191,5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."
192,6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi"
193,1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal"
194,6325,"Alard Charitable Trust's Alard College of Engineering and Management, Pune"
195,6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur"
196,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik"
197,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar"
198,1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"
199,4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
200,6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur."
201,3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh
202,3465,"Ideal Institute of Technology, Wada, Dist.Thane"
203,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti"
204,6759,"Shree Ramchandra College of Engineering, Lonikand,Pune"
205,5152,"G H Raisoni Institute of Engineering and Business Management, Jalgaon"
206,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
207,6217,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions"
208,6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
209,6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli."
210,1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola"
211,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"
212,4151,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur"
213,5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"
214,5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,"
215,6797,"Dnyanshree Institute Engineering and Technology, Satara"
216,3351,"Bharat College of Engineering, Kanhor, Badlapur(W)"
217,4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur"
218,3447,"G.M.Vedak Institute of Technology, Tala, Raigad."
219,2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad"
220,2134,"Peoples Education Society's College of Engineering, Aurangabad"
221,5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik"
222,6293,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
223,6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
224,4172,"Anjuman College of Engineering & Technology, Nagpur"
225,6768,"P.K. Technical Campus, Pune."
226,1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali"
227,6781,"Bhagwant Institute of Technology, Barshi"
228,4163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur
229,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur"
230,6315,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"
231,5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon"
232,1117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad"
233,2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad"
234,4285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur"
235,6609,"Jaihind College Of Engineering,Kuran"
